7.348809685110162526e-01,9.452110136459908052e-01
1.731037750684450982e-01,9.017638008237502945e-01
1.726411926078041947e-02,2.335727195838975812e-01
8.378794187112538205e-01,4.976525976332529799e-01
6.616799503963429752e-01,6.249586581228085969e-01
2.842767783604405185e-02,5.475413209597834729e-01
5.648773338210315575e-01,2.678258358695910779e-01
1.372965625379994892e-01,8.640738476657390255e-01
7.396856366426329821e-01,7.117570613760964005e-01
2.045024401527697488e-01,5.307074115408186854e-01
5.885944114569667818e-01,9.080190473635650905e-01
3.405697682411988891e-01,8.032023318634073927e-02
5.968205006965936477e-01,2.495191137064256548e-02
7.861943034203263680e-01,4.110570985777095565e-01
7.064963679735341007e-01,8.352187759384843702e-02
