20833.3333,17100
20900,17066.6667
21300,13016.6667
21600,14150
21600,14966.6667
21600,16500
22183.3333,13133.3333
22583.3333,14300
22683.3333,12716.6667
23616.6667,15866.6667
23700,15933.3333
23883.3333,14533.3333
24166.6667,13250
25149.1667,12365.8333
26133.3333,14500
26150,10550
26283.3333,12766.6667
26433.3333,13433.3333
26550,13850
26733.3333,11683.3333
27026.1111,13051.9444
27096.1111,13415.8333
27153.6111,13203.3333
27166.6667,9833.3333
27233.3333,10450
27233.3333,11783.3333
27266.6667,10383.3333
27433.3333,12400
27462.5,12992.2222
